sample_id,image_id,gt_area,surface_area,edge_area,area_delta_edge_minus_surface,change_pixels,surface_dice,edge_dice,dice_delta_edge_minus_surface
forged__15269,15269,5811,9370,8632,-738,2110,0.7324945655753903,0.6872533407186873,-0.04524122485670301
forged__39366,39366,2899,4896,4970,74,2090,0.11930724823604875,0.040411742279832255,-0.0788955059562165
forged__60986,60986,7952,6979,6930,-49,2075,0.7945884401580604,0.7187206020696143,-0.0758678380884461
forged__34415,34415,9540,5646,4317,-1329,2071,0.5713156854998025,0.5457169661542902,-0.025598719345512277
forged__28014,28014,4454,10463,9355,-1108,2046,0.30569149292753234,0.3402129046274169,0.03452141169988454
forged__45767,45767,2983,4508,4831,323,2041,0.4570818315311707,0.46915792167903764,0.012076090147866925
forged__21034,21034,8591,13709,15710,2001,2027,0.3820627802690583,0.35060285584955353,-0.03145992441950479
forged__8678,8678,1683,7321,7865,544,2016,0.18725011106175032,0.19731881022203604,0.010068699160285716
forged__58180,58180,259,3290,3027,-263,2015,0.0,0.0,0.0
forged__23143,23143,5999,6372,5342,-1030,2006,0.6568587826368119,0.5514504893748347,-0.1054082932619772
forged__10,10,185,6208,6136,-72,2000,0.0,0.0,0.0
forged__52396,52396,17570,22327,24153,1826,1986,0.812141263754167,0.7984564868298061,-0.013684776924360875
forged__8874,8874,1983,18626,18762,136,1984,0.03153961861322723,0.0309472161966739,-0.0005924024165533323
forged__46849,46849,2313,4105,5318,1213,1975,0.25677781240261766,0.2728344908924125,0.016056678489794862
forged__1536,1536,4710,5603,5548,-55,1969,0.8651216910695239,0.7968414895691168,-0.06828020150040703
forged__58081,58081,3803,6800,7086,286,1968,0.39573705555031596,0.3969143172008449,0.001177261650528949
forged__899,899,4837,4132,4965,833,1943,0.18352101683576763,0.1895531524178739,0.006032135582106274
forged__20270,20270,4398,4437,4818,381,1935,0.6784380305602716,0.6243489583333334,-0.05408907222693826
forged__10176,10176,9577,13717,13287,-430,1922,0.6014424315274319,0.586074177746676,-0.015368253780755903
forged__31725,31725,1545,3349,3578,229,1921,0.5418880261544748,0.5239117704470037,-0.01797625570747119
forged__48836,48836,4112,3456,2762,-694,1916,0.5843023255813954,0.5583357579284259,-0.025966567652969452
